n,date,at_block_id,era,block_hash,eras_total_stake,total_issuance,number_of_parachains
1,2023-10-26,17897690,1242,0x64d2308580f1249c61d3f860f5e4283ea0e30f61707267b4d8df1cec9864549e,681327530026227,137093926622084,50
2,2023-10-27,17912064,1243,0x445924ac1f9bd609b413c71cc9454b5ef753f3707ca2274e0c4054a13e8b8f22,684122838472382,137129792448783,50
3,2023-10-28,17926434,1244,0x96bc08c08009b76293b3f73e494ccba179281bd4be185db89a1f8e0d4783ba02,692984654601698,137164432316239,50
4,2023-10-29,17940821,1245,0xa191e938c9175160d9b2d959889e43bdd6172e4914055f7feac0e08a516a255f,693296859579378,137198276659554,50
5,2023-10-30,17955212,1246,0xcec92ababc59e751489dae070c5031201d3e16a435abad7311b089af630a4ad8,693494643958342,137241454484276,50
6,2023-10-31,17969608,1247,0x21829b93a70e025869f17a1dc0b2a3489fdecba654c3a254ba91a402ddc15761,690561777578001,137296530586997,50
7,2023-11-01,17983985,1248,0xc2920b09464658065cf29cedb11fe472ba440964e00110a45c6e885fa06abebf,691385020153075,137297206942866,50
8,2023-11-02,17998358,1249,0x8c8e903e26114547cfae9b29bcc2ce1069ece2b7a1130021da67f918f66cd79c,689415771224457,137324958143901,50
9,2023-11-03,18012739,1250,0x59dd649e1f73abfd41150e36ae23f833b5791d24fed646ae0019a6bfd93b3b25,687759884005267,137362838520881,50
10,2023-11-04,18027113,1251,0xc04cc1ea2949cb0cc371c4b22f5fe8b91811ad32ad9887d4cfb26049e60130fa,688067683889991,137394587919299,50
11,2023-11-05,18041498,1252,0x648685989ed18e173810d86b5a9a3b92e25cb4a24a908b359c2f5791dedfea74,68855561714823,137427558797463,50
12,2023-11-06,18055846,1253,0x3bf7ba17d7e6888fb6a54a862279f49de98a6d249be41170a83ccfa19557eec9,689270420716111,137467226254768,50
13,2023-11-07,18070224,1254,0xa7cf5df51093e0889d21044cb925fcc20bc1e0551d3ea0b31c32447765cde1ab,690422943.502545,1375130284.24111,50
14,2023-11-08,18084610,1255,0x50e6db9d5593e843e0afae2211201a27e909594104f1281c26865a53ef3aa05f,692031726.493223,1375500097.52205,50
15,2023-11-09,18098995,1256,0xf214c076b1df6bc1e427bf35fe0485b4895f35e1c879789377f9897014b308f7,693183319.799153,1375881520.62116,50
16,2023-11-10,18113369,1257,0x33f5161a0ecee1eb2536e11105862dd65f8c32ac5b70e27b82e43f788a85cb65,693666225.965024,1376297964.21106,50
17,2023-11-11,18127740,1258,0xb0ab073c685c047a6d6c9f7fbc5a86338fbf961743ac16f53d11ddbf9d9bb07e,694175993.526387,1376613558.91646,50
18,2023-11-12,18142117,1259,0x5cc25571b80ff08ac4c7b7f626f18091204e90def084e2ef227e7950e22dc3b9,694688239.12221,1376943215.6824,50
19,2023-11-13,18156429,1260,0xf1763f6e402f6c1ff132312d28e256c8ef363f45319b94f2fdb55dd549954336,694420172.548239,1377542923.21566,50
20,2023-11-14,18170773,1261,0x9df010b269d613067e140e7fc156e329431b0cfe11297dbd2a84b19cb6057f05,693376886.025874,1377860317.32575,50
21,2023-11-15,18185147,1262,0x39a223c34d017528891000ca6094d5298bf90f3dad27f64545ac3a5d81a51d37,697380624.248761,1378143326.30059,50
22,2023-11-16,18199494,1263,0x4faebe5be67f470a20ea08bfde895e9f79947fd525ce6672a53ec3299d89ab0e,697482705.791906,1378473596.84805,50
23,2023-11-17,18213823,1264,0xc3b763ba9c4504317c4049224bf2384585164e0b5a4f463737b02807313ddf36,697470179.005249,1378883624.59986,50
24,2023-11-18,18228190,1265,0x732ae389df3434e8e548e39cf8df81c76ad3fc3e6d3ac4bfbb69730433f67277,697924277.71903,1379218816.30466,50
25,2023-11-19,18242573,1266,0x1dcbf43c3e4ef961a3e7377f3c1a6573df7e69bdb34077441c8eceb86bdb18b8,698208986.953786,1379549470.60148,50
26,2023-11-20,18256962,1267,0x4dbf3d35d6693cad741ce55523f826e17d61cee58dd69795d053ed5148ac52f0,698791533.477393,1380075302.19232,50
27,2023-11-21,18271359,1268,0x43fc9d6877943190bfe427f83bca0a82af554d5cbdc647241891b80306b0c685,704731490.351779,1380463812.96236,50
28,2023-11-22,18285753,1269,0x13cdf6862e89d8b1800a781679b12ddc922b8878748b173a0570ea5051adaa34,705657910.043106,1380761234.68605,50
29,2023-11-23,18300123,1270,0xf7b49989b48ec83f88c44d660e8d41e4f02218480c3ecfba88d77103da033889,706130860.580442,1381151398.49838,50
30,2023-11-24,18314405,1271,0xba95d28ec74665ec3b395f59a137d08fcb5303ef0da6ab7ccf65f96ad7323223,705013171.07851,1381584704.66617,50
31,2023-11-25,18328776,1272,0x26a2863fd56f6666859881603dacf11e99e369ae436c97f60056ef37b2e8c8a0,707420345.959464,1381479044.30256,50
32,2023-11-26,18343169,1273,0x29da80a20f14fc51f3abd470355c330eeba2951b6d091de0b7c394003325e9e4,707674133.579496,1381805590.22613,50
