date,era,block_n,total_staked,total_issuance,number_of_parachains
2023-10-26,1242,17897690,6813275300262266541,13709392662208413978,50
2023-10-27,1243,17912064,6841228384723821969,13712979244878345170,50
2023-10-28,1244,17926434,6929846546016984552,13716443231623905733,50
2023-10-29,1245,17940821,6932968595793775930,13719827665955376750,50
2023-10-30,1246,17955212,6934946439583422882,13724145448427556755,50
2023-10-31,1247,17969608,6905617775780011380,13729653058699730670,50
2023-11-01,1248,17983985,6913850201530755471,13729720694286569929,50
2023-11-02,1249,17998358,6894157712244567191,13732495814390066598,50
2023-11-03,1250,18012739,6877598840052673715,13736283852088148942,50
2023-11-04,1251,18027113,6880676838899907705,13739458791929903075,50
2023-11-05,1252,18041498,6885556171482302854,13742755879746307477,50
2023-11-06,1253,18055846,6892704207161112745,13746722625476780833,50
2023-11-07,1254,18070224,6904229435025450536,13751302842411077915,50
2023-11-08,1255,18084610,6920317264932226160,13755000975220516452,50
2023-11-09,1256,18098995,6931833197991527536,13758815206211591625,50
2023-11-10,1257,18113369,6936662259650234978,13762979642110628845,50
2023-11-11,1258,18127740,6941759935263870583,13766135589164628703,50
2023-11-12,1259,18142117,6946882391222105373,13769432156823948520,50
2023-11-13,1260,18156429,6944201725482390291,13775429232156591259,50
2023-11-14,1261,18170773,6933768860258737635,13778603173257514424,50
2023-11-15,1262,18185147,6973806242487610242,13781433263005882304,50
2023-11-16,1263,18199494,6974827057919063935,13784735968480545516,50
2023-11-17,1264,18213823,6974701790052491119,13788836245998578858,50
2023-11-18,1265,18228190,6979242777190304395,13792188163046622301,50
2023-11-19,1266,18242573,6982089869537856013,13795494706014763509,50
2023-11-20,1267,18256962,6987915334773933208,13800753021923197721,50
2023-11-21,1268,18271359,7047314903517786918,13804638129623556762,50
2023-11-22,1269,18285753,7056579100431062577,13807612346860493635,50
2023-11-23,1270,18300123,7061308605804419936,13811513984983808381,50
2023-11-24,1271,18314405,7050131710785097305,13815847046661700278,50
2023-11-25,1272,18328776,7074203459594636335,13814790443025646665,50
2023-11-26,1273,18343169,7076741335794954911,13818055902261263527,50
2023-11-27,1274,18357555,7082174449180865744,13821598441373175837,50
2023-11-28,1275,18371942,7090300341891132974,13826676751624057265,50
2023-11-29,1276,18386327,7095932054865100047,13829950164641733989,50
2023-11-30,1277,18400713,7089169774096809017,13833844807301337048,50
2023-12-01,1278,18415089,7085367193686713186,13837038421696204897,50
2023-12-02,1279,18429475,7092250506516924525,13840489327433288229,50
2023-12-03,1280,18443866,7090971731076670189,13843809346863506747,50
2023-12-04,1281,18458244,7092181567147115343,13849035062103302444,50
2023-12-05,1282,18472602,7093216492391815906,13852936296946765156,50
2023-12-06,1283,18486976,7095359349888589846,13856295897809493634,50
2023-12-07,1284,18501330,7095851337302300262,13859986894089644398,50
2023-12-08,1285,18515692,7100699872061541470,13863627240883126101,50
2023-12-09,1286,18530058,7109594393785133214,13867187248748170107,50
2023-12-10,1287,18544404,7100645582768695197,13870473819024933900,50
2023-12-11,1288,18558771,7108116586471614255,13877386487669688486,50
2023-12-12,1289,18573155,7099602979345186161,13879988871061586733,50
2023-12-13,1290,18587531,7098129231466642810,13883802401196201219,50
2023-12-14,1291,18601883,7085732028062564366,13887591329920085634,50
2023-12-15,1292,18616190,7092288949752043466,13891411179005291814,50
2023-12-16,1293,18630539,7095149430264908548,13895119109377055072,50
2023-12-17,1294,18644877,7099733128760976984,13899014743523037387,50
2023-12-18,1295,18659208,7100267151748552511,13902791711112924139,50
2023-12-19,1296,18673554,7095956614364511004,13903532715691844524,50
2023-12-20,1297,18687873,7117319651538087866,13906107018782662475,50
2023-12-21,1298,18702170,7105947583747458108,13911024440314097526,50
2023-12-22,1299,18716411,7087687541501906794,13915142039959149216,50
2023-12-23,1300,18730694,7081936877504135281,13917686951626039993,50
