date,block_n,era,payout,remainder,simulated_payout,simulated_remainder,t_diff
"2023-10-26",17897690,"1242",3296272240849781,457154908283253,3654919575211035,98507573921999,0
"2023-10-27",17912064,"1243",3306191638726651,448217463224982,3666310409186915,88098692764718,0
"2023-10-28",17926434,"1244",3337097411594459,418260078240969,3701880996835147,53476493000281,0
"2023-10-29",17940821,"1245",3338409532009947,417874565445322,3703357460357426,52926637097843,0
"2023-10-30",17955212,"1246",3339389553655401,418076688213880,3704441594690488,53024647178793,0
"2023-10-31",17969608,"1247",3329616563478352,429357579902818,3693124758619962,65849384761208,0
"2023-11-01",17983985,"1248",3332470243161397,426522417834240,3696411788992755,62580872002882,0
"2023-11-02",17998358,"1249",3325845079167535,433907368304076,3688750022413765,71002425057846,0
"2023-11-03",18012739,"1250",3320373717293485,440415838377464,3682407009959040,78382545711909,0
"2023-11-04",18027113,"1251",3321656253594751,440002553230683,3683851570548641,77807236276793,0
"2023-11-05",18041498,"1252",3323570550003810,438990950268962,3686022712534463,76538787738309,0
"2023-11-06",18055846,"1253",3326315827153890,437331708910935,3689144258634373,74503277430452,0
"2023-11-07",18070224,"1254",3330617938103054,434283593015651,3694053051695940,70848479422765,0
"2023-11-08",18084610,"1255",3336438683689112,429475341011917,3700720652437182,65193372263847,0
"2023-11-09",18098995,"1256",3340685149042908,426273155190243,3705573310629573,61384993603578,0
"2023-11-10",18113369,"1257",3342641414600157,425457050043408,3707783775527811,60314689115754,0
"2023-11-11",18127740,"1258",3344621613874119,424340901982040,3710032313844264,58930202011895,0
"2023-11-12",18142117,"1259",3346620014002467,423245052889783,3712300357439785,57564709452465,0
"2023-11-13",18156429,"1260",3346102775633905,425404201000341,3711642010194878,59864966439368,0
"2023-11-14",18170773,"1261",3342709449073930,429666505274464,3707699502934382,64676451414012,0
"2023-11-15",18185147,"1262",3356759161054026,416391629638890,3723856762280226,49294028412690,0
"2023-11-16",18199494,"1263",3357338499302724,416716522868539,3724489835732227,49565186439036,0
"2023-11-17",18213823,"1264",3357575795720563,417601821253721,3724720538113504,50457078860780,0
"2023-11-18",18228190,"1265",3359376751529868,416718570317255,3726760529168064,49334792679059,0
"2023-11-19",18242573,"1266",3360588384227621,416412219746303,3728122031353854,48878572620070,0
"2023-11-20",18256962,"1267",3362964353797552,415475898611261,3730804650440537,47635601968276,0
"2023-11-21",18271359,"1268",3383787078359045,395716858567321,3754754137983613,24749798942753,0
"2023-11-22",18285753,"1269",3387196774615324,393121458611367,3758651496837026,21666736389665,0
"2023-11-23",18300123,"1270",3389100598539967,392285844987426,3760804279510627,20582164016766,0
"2023-11-24",18314405,"1271",3385529118124556,397043653035388,3756644453045989,25928318113955,0
"2023-11-25",18328776,"1272",3393787467600971,388496021249307,3766169927093701,16113561756577,0
"2023-11-26",18343169,"1273",3394889275783847,388288247080289,3767405327784452,15772195079684,0
"2023-11-27",18357555,"1274",3397012023020708,387135394193028,3769814071336919,14333345876817,0
"2023-11-28",18371942,"1275",3400171796095904,385365986689599,3773401587257004,12136195528499,0
"2023-11-29",18386327,"1276",3402344853334568,384089141091641,3775871094992225,10562899433984,0
"2023-11-30",18400713,"1277",3400271159659283,387229129814045,3773441438308718,14058851164610,0
"2023-12-01",18415089,"1278",3399173766382858,389200887058949,3772143879140313,16230774301494,0
"2023-12-02",18429475,"1279",3401792121814488,387527338126178,3775124568646148,14194891294518,0
"2023-12-03",18443866,"1280",3401576810446390,388651621275308,3774841943191544,15386488530154,0
"2023-12-04",18458244,"1281",3402353187168545,389305967411413,3775682005066945,15977149513013,0
"2023-12-05",18472602,"1282",3402978375596646,389748878872008,3776361671431719,16365583036935,0
"2023-12-06",18486976,"1283",3403949920675309,389697142379992,3777446015435317,16201047619984,0
"2023-12-07",18501330,"1284",3404372820955326,390284781807066,3777894813681677,16762789080715,0
"2023-12-08",18515692,"1285",3406299953753608,389354321642181,3780077170875027,15577104520762,0
"2023-12-09",18530058,"1286",3409621809243999,387007143185341,3783867229449264,12761722980076,0
"2023-12-10",18544404,"1287",3406749788231188,390778978100072,3780524147591938,17004618739322,0
"2023-12-11",18558771,"1288",3409808474505554,389612877354729,3783976103688087,15445248172196,0
