"max_inflation_rate","falloff_rate","ideal_stake_rate","actual_stake_rate","min_inflation_rate","n","current_issuance"
5.81,5,75,10,5.81,1,14644857704117379072
5.81,5,75,11,5.81,2,14644857704117379072
5.81,5,75,12,5.81,3,14644857704117379072
5.81,5,75,13,5.81,4,14644857704117379072
5.81,5,75,14,5.81,5,14644857704117379072
5.81,5,75,15,5.81,6,14644857704117379072
5.81,5,75,16,5.81,7,14644857704117379072
5.81,5,75,17,5.81,8,14644857704117379072
5.81,5,75,18,5.81,9,14644857704117379072
5.81,5,75,19,5.81,10,14644857704117379072
5.81,5,75,20,5.81,11,14644857704117379072
5.81,5,75,21,5.81,12,14644857704117379072
5.81,5,75,22,5.81,13,14644857704117379072
5.81,5,75,23,5.81,14,14644857704117379072
5.81,5,75,24,5.81,15,14644857704117379072
5.81,5,75,25,5.81,16,14644857704117379072
5.81,5,75,26,5.81,17,14644857704117379072
5.81,5,75,27,5.81,18,14644857704117379072
5.81,5,75,28,5.81,19,14644857704117379072
5.81,5,75,29,5.81,20,14644857704117379072
5.81,5,75,30,5.81,21,14644857704117379072
5.81,5,75,31,5.81,22,14644857704117379072
5.81,5,75,32,5.81,23,14644857704117379072
5.81,5,75,33,5.81,24,14644857704117379072
5.81,5,75,34,5.81,25,14644857704117379072
5.81,5,75,35,5.81,26,14644857704117379072
5.81,5,75,36,5.81,27,14644857704117379072
5.81,5,75,37,5.81,28,14644857704117379072
5.81,5,75,38,5.81,29,14644857704117379072
5.81,5,75,39,5.81,30,14644857704117379072
5.81,5,75,40,5.81,31,14644857704117379072
5.81,5,75,41,5.81,32,14644857704117379072
5.81,5,75,42,5.81,33,14644857704117379072
5.81,5,75,43,5.81,34,14644857704117379072
5.81,5,75,44,5.81,35,14644857704117379072
5.81,5,75,45,5.81,36,14644857704117379072
5.81,5,75,46,5.81,37,14644857704117379072
5.81,5,75,47,5.81,38,14644857704117379072
5.81,5,75,48,5.81,39,14644857704117379072
5.81,5,75,49,5.81,40,14644857704117379072
5.81,5,75,50,5.81,41,14644857704117379072
5.81,5,75,51,5.81,42,14644857704117379072
5.81,5,75,52,5.81,43,14644857704117379072
5.81,5,75,53,5.81,44,14644857704117379072
5.81,5,75,54,5.81,45,14644857704117379072
5.81,5,75,55,5.81,46,14644857704117379072
5.81,5,75,56,5.81,47,14644857704117379072
5.81,5,75,57,5.81,48,14644857704117379072
5.81,5,75,58,5.81,49,14644857704117379072
5.81,5,75,59,5.81,50,14644857704117379072
5.81,5,75,60,5.81,51,14644857704117379072
5.81,5,75,61,5.81,52,14644857704117379072
5.81,5,75,62,5.81,53,14644857704117379072
5.81,5,75,63,5.81,54,14644857704117379072
5.81,5,75,64,5.81,55,14644857704117379072
5.81,5,75,65,5.81,56,14644857704117379072
5.81,5,75,66,5.81,57,14644857704117379072
5.81,5,75,67,5.81,58,14644857704117379072
5.81,5,75,68,5.81,59,14644857704117379072
5.81,5,75,69,5.81,60,14644857704117379072
5.81,5,75,70,5.81,61,14644857704117379072
5.81,5,75,71,5.81,62,14644857704117379072
5.81,5,75,72,5.81,63,14644857704117379072
5.81,5,75,73,5.81,64,14644857704117379072
5.81,5,75,74,5.81,65,14644857704117379072
5.81,5,75,75,5.81,66,14644857704117379072
5.81,5,75,76,5.81,67,14644857704117379072
5.81,5,75,77,5.81,68,14644857704117379072
5.81,5,75,78,5.81,69,14644857704117379072
5.81,5,75,79,5.81,70,14644857704117379072
5.81,5,75,80,5.81,71,14644857704117379072
5.81,5,75,81,5.81,72,14644857704117379072
5.81,5,75,82,5.81,73,14644857704117379072
5.81,5,75,83,5.81,74,14644857704117379072
5.81,5,75,84,5.81,75,14644857704117379072
5.81,5,75,85,5.81,76,14644857704117379072
5.81,5,75,86,5.81,77,14644857704117379072
5.81,5,75,87,5.81,78,14644857704117379072
5.81,5,75,88,5.81,79,14644857704117379072
5.81,5,75,89,5.81,80,14644857704117379072
5.81,5,75,90,5.81,81,14644857704117379072
5.81,5,75,91,5.81,82,14644857704117379072
5.81,5,75,92,5.81,83,14644857704117379072
5.81,5,75,93,5.81,84,14644857704117379072
5.81,5,75,94,5.81,85,14644857704117379072
5.81,5,75,95,5.81,86,14644857704117379072
5.81,5,75,96,5.81,87,14644857704117379072
5.81,5,75,97,5.81,88,14644857704117379072
5.81,5,75,98,5.81,89,14644857704117379072
5.81,5,75,99,5.81,90,14644857704117379072
5.81,5,75,100,5.81,91,14644857704117379072
